Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
25,woman,"Nieuwegein, the Netherlands","Nieuwegein, the Netherlands; Singapore; Woking, UK; Munich, Germany",(Southern) English,Moderate,Limited,English,Dutch - 5,German - 4,French - 1,NA,NA,6,No,NA,Some graduate school,0,1,0,1,NA,1,0,0,0,1,1,NA,5
23,Female ,"New York City, USA","USA, France, UK",RP,Extensive,Extensive,English,"French, 5","German, 4","Spanish, 3","Mandarin Chinese, 1",NA,10,No,NA,Master's degree,0,0,1,0,1,NA,0,1,1,NA,0,0,4
23,Male,"New Brunswick, New Jersey, USA","Hasbrouck Heights, New Jersey, USA","Transatlantic; General American base, with limited New York City metropolitan area regional features; British (SSBE)-influenced shifts in usage (especially lexical, but also prosodic) from ages 17-21 at university; (Dublin) Irish-English influence from ages 21 to present following move to Dublin with notable social/cultural integration and pre-existing family ties",Moderate,Moderate,American English,"Irish (Gaelic), 5","Spanish, 4","French, 3","Greek (Modern), 3",NA,13,No,N/A,Master's degree,1,0,0,NA,1,1,1,1,1,0,0,NA,6
31,Female,United Kingdom,"Nuneaton, Rugby, both UK",Neutral/slight midlands ,Moderate,Limited,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,NA,NA,0,1,0,1,1,1,1,1,0,7
32,Female ,"Leeds, United Kingdom ","Leeds, United Kingdom ",Mild northern,Extensive,Moderate,English ,NA,NA,NA,NA,NA,NA,Yes,3,Master's degree,1,1,1,1,1,NA,NA,1,1,0,1,1,9
69,Female,"Rochester, New York","Detroit, Michigan",Standard American,Limited,Extensive,English,"Hebrew, 4","French, 1",NA,NA,NA,27,No,NA,Doctoral degree,0,1,NA,0,0,NA,1,1,1,1,1,1,7
42,female,"London, England","Cambridge, England",British RP (southern),Moderate,Moderate,English,Italian 4,French 3,NA,NA,NA,10,No,NA,Doctoral degree,1,1,1,1,1,1,1,NA,NA,1,1,1,10
44,Female,"Budapest, Hungary","Budapest, Hungary",English as a Second Language,Limited,Limited,Hungarian,"Spanish, 4","Catalan, 4","French, 2","Greek, 1",NA,8,No,NA,Master's degree,1,1,0,0,1,0,0,1,NA,NA,1,0,5
44,female,"Zenica, Bosnia & Herzegovina","Novi Sad, Serbia",eastern european,Moderate,Limited,Serbian,"English, 5",NA,NA,NA,NA,10,No,NA,Doctoral degree,1,0,1,0,NA,NA,0,1,1,0,1,0,5
31,Woman,"Paris, France","Paris, France",Mild French accent,Limited,Moderate,French,"English, 5","Italian, 4","Spanish, 3","German, 1",NA,8,No,NA,Master's degree,1,1,0,1,1,NA,1,NA,1,1,1,0,8
23,female,"Berlin, Germany","Berlin, Germany",NA,Limited,Limited,German,"English, 5","Spanish, 3.5 ","French, 2","Dutch, 1",NA,8,No,NA,Bachelor's degree,0,0,NA,1,0,0,0,1,NA,0,0,0,2
57,Female,"Singapore, Singapore","Sheffield, UK",Received pronunciation,Moderate,Negligible,Englsih,"French, 1",NA,NA,NA,NA,10,No,NA,Bachelor's degree,1,1,0,0,NA,NA,1,1,1,0,1,1,7
63,female,"London, England","London, England",RP,Moderate,Limited,English,"French, 4. Russian, 3. Hebrew, 5.",NA,NA,NA,NA,8,No,NA,Master's degree,1,1,0,NA,1,0,0,1,1,1,NA,0,6
28,Male,"Rotterdam, Netherlands","Apeldoorn, Netherlands",Dutch/International School English,Moderate,Moderate,Dutch,"English, 5","Japanese, 5","French, 5","Portuguese, 3 ","German; Spanish, 2",11,No,NA,Master's degree,0,0,0,1,NA,1,NA,1,1,0,1,1,6
29,female,"ipswich, england","oxford, england
milton keynes, england",east anglian,Moderate,Limited,english,"german, 3","korean, 2",NA,NA,NA,NA,No,NA,Master's degree,NA,1,1,1,1,1,1,0,1,1,0,NA,8
32,Female,"London, UK","London, UK",RP,Extensive,Moderate,English ,"French, 2","Spanish, 1",NA,NA,NA,8,No,NA,Master's degree,1,1,1,0,1,1,NA,1,NA,1,1,0,8
21,Male,London UK,London ,North London ,Limited,Limited,English ,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,0,0,0,1,NA,0,1,1,NA,1,1,6
30,Male,24/05/90,London,RP,Moderate,Limited,English,"French, 2",NA,NA,NA,NA,French at 11,No,NA,Bachelor's degree,1,0,0,1,1,0,1,0,NA,0,NA,0,4
29,Male,"Croydon, England","Croydon, England","English, well spoken London accent",Moderate,Limited,English,Turkish 3,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,0,1,1,0,1,1,0,NA,NA,1,0,0,5
29,Female,"Doncaster, UK","Doncaster, UK","Faintly South Yorkshire English, mostly having lived in southern UK/abroad for 10 years",Extensive,Moderate,English,"Japanese, 5","Mandarin, 3 (Taiwanese)","French, 3 (Continental)","German, 3",NA,10,No,NA,Master's degree,1,0,NA,NA,1,1,0,1,0,0,0,0,4
31,Female,"London, UK","London, UK",London,Extensive,Limited,English,"Italian, 5","French, 3","Spanish, 1",NA,NA,10,No,NA,Master's degree,1,1,NA,1,0,0,0,1,NA,1,0,1,6
